Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Cacao Bender,Brown Ale - American,Surly Brewing Company,5.1,4.31,25,45,12,77,6,115,44,4,0,1,15,26,148
Coffee Okie,Brown Ale - American,Prairie Artisan Ales,13,4.29,25,45,8,73,84,69,79,3,0,9,7,23,174
Sick Day,Brown Ale - American,Long Trail Brewing Co.,6.8,3.61,25,45,13,38,25,70,33,20,2,20,95,10,74
Madtown Nutbrown,Brown Ale - American,Ale Asylum,5.5,3.7,25,45,9,86,3,24,61,9,0,8,31,1,121
Hash Brown,Brown Ale - American,SweetWater Brewing Company,6.2,3.87,25,45,17,66,8,105,57,42,0,50,148,14,112
Over Ale,Brown Ale - American,Half Acre Beer Company,6,3.83,25,45,17,66,6,59,56,10,0,12,80,4,113
Leffe Brune / Brown,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.5,3.82,15,25,11,57,21,26,98,18,0,41,24,31,125
Noire De Chambly / Chambly Noire,Brown Ale - Belgian Dark,Unibroue,6.2,3.72,15,25,15,45,25,18,89,61,0,76,22,66,58
Belgian Freeze Belgian Style Winter Ale,Brown Ale - Belgian Dark,River Horse Brewing Co.,8,3.61,15,25,7,29,31,18,82,36,1,52,20,16,38
Cold Front,Brown Ale - Belgian Dark,Ithaca Beer Company,7.2,3.66,15,25,16,44,25,24,82,43,0,55,28,31,67
Grottenbier,Brown Ale - Belgian Dark,Brouwerij St. Bernardus NV,6.5,3.8,15,25,36,58,23,20,75,66,0,50,25,64,63
Undertaker,Brown Ale - Belgian Dark,Brewery Vivant,6.7,3.62,15,25,10,32,11,30,46,14,0,21,6,26,77
Rejection,Brown Ale - Belgian Dark,Russian River Brewing Company,6.1,3.84,15,25,7,85,8,38,91,35,0,40,35,25,97
Petrus Winterbier,Brown Ale - Belgian Dark,De Brabandere,6.5,3.62,15,25,16,37,23,16,99,90,0,92,24,57,73
Brontide,Brown Ale - Belgian Dark,Stillwater Artisanal Ales,5,3.51,15,25,16,59,5,39,39,15,0,13,28,11,66
Petrus Speciale,Brown Ale - Belgian Dark,De Brabandere,6.5,3.28,15,25,41,43,18,30,79,47,1,37,36,11,91
Kapittel Pater,Brown Ale - Belgian Dark,Leroy Breweries,6,3.61,15,25,13,67,15,30,151,38,0,64,32,14,92
